champion,build,c0_upper,c0_avg,c0_lower,c1_upper,c1_avg,c1_lower,c2_upper,c2_avg,c2_lower,c3_upper,c3_avg,c3_lower,c4_upper,c4_avg,c4_lower,c5_upper,c5_avg,c5_lower,c6_upper,c6_avg,c6_lower
Syndra,item_ap,0.00094,7e-05,0.0,0.00776,0.00159,0.0,0.0,0.0,0.0,1.12227,0.64453,0.16677906934811643,0.6562,0.23295,0.0,0.44749,0.12086,0,0.0,0.0,0.0
TahmKench,item_tank,0.02032,0.00278,0.0,1.13213,0.74103,0.3499340018506438,0.0,0.0,0.0,0.25764,0.07502,0.0,0.34063,0.07557,0.0,0.39725,0.09861,0,0.07723,0.00699,0.0
Taliyah,item_ap,0.06551,0.00592,0.0,0.05799,0.00912,0.0,0.0,0.0,0.0,1.11849,0.64483,0.17117342754847914,0.60491,0.20179,0.0,0.48186,0.13834,0,0.0,0.0,0.0
Talon,item_ad,0.0,0.0,0.0,0.0,0.0,0.0,1.19047,0.76535,0.3402261112434042,0.0,0.0,0.0,0.0,0.0,7.63513709528484e-182,0.23362,0.03912,0,0.59342,0.19553,0.0
Talon,item_bruiser,0.0,0.0,0.0,0.0,0.0,0.0,1.21169,0.87093,0.5301657598069193,0.0,0.0,0.0,0.0,0.0,0.0,0.21186,0.03226,0,0.39734,0.09681,0.0
Taric,item_support,0.78688,0.35929,0.0,0.83667,0.40214,0.0,0.0,0.0,0.0,0.00122,0.0003,0.0,0.52865,0.15363,0.0,0.35302,0.07758,0,0.02942,0.00705,0.0
Taric,item_tank,0.55214,0.22532,0.0,0.95979,0.53374,0.10769451931097673,0.0,0.0,0.0,0.02177,0.004,0.0,0.54205,0.16662,0.0,0.27831,0.05976,0,0.06142,0.01055,0.0
Teemo,item_ap,0.06609,0.0052,0.0,0.18705,0.04265,0.0,0.0,0.0,0.0,1.13992,0.70737,0.27480768517651566,0.45207,0.12306,0.0,0.44746,0.12156,0,0.00199,0.00016,0.0
Thresh,item_tank,0.26637,0.07039,0.0,0.97545,0.55184,0.12822704192202627,0.0,0.0,0.0,0.34117,0.11825,0.0,0.49613,0.14474,0.0,0.41004,0.11114,0,0.04604,0.00364,0.0
Tristana,item_ad,0.0,0.0,0.0,0.04779,0.00615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.17573,0.0,0.43932,0.11724,0,1.15381,0.70087,0.2479339547633606
Trundle,item_bruiser,0.0,0.0,0.0,0.52007,0.20183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34995,0.07843,0.0,0.63108,0.21569,0,0.94217,0.50406,0.06594110878372239
Trundle,item_tank,0.00024,3e-05,0.0,0.76167,0.34966,0.0,0.0,0.0,0.0,0.00727,0.00106,0.0,0.48088,0.13559,0.0,0.36564,0.08475,0,0.86327,0.4289,0.0
Tryndamere,item_ad,0.0,0.0,0.0,0.01566,0.00185,0.0,0.91826,0.42271,0.0,0.0,0.0,0.0,0.27984,0.05369,0.0,0.33619,0.07383,0,0.9451,0.44793,0.0
TwistedFate,item_ad,0.01494,0.00178,0.0,0.60996,0.2471,0.0,0.0,0.0,0.0,0.37119,0.09165,0.0,0.61548,0.20688,0.0,0.57996,0.18792,0,0.64748,0.26466,0.0
TwistedFate,item_ap,0.06297,0.00471,0.0,0.15596,0.02791,0.0,0.0,0.0,0.0,0.9873,0.49841,0.009524619187963268,0.79664,0.32685,0.0,0.49146,0.14212,0,3e-05,0.0,0.0
Twitch,item_ad,0.0,0.0,0.0,0.05743,0.00514,0.0,0.79861,0.32839,0.0,0.0,0.0,0.0,0.0,0.0,1.1906220694240545e-227,0.34782,0.07849,0,1.07836,0.58798,0.09759161006258804
Twitch,item_ap,0.0,0.0,0.0,0.76825,0.38531,0.00236579639913298,0.0,0.0,0.0,0.08185,0.01435,0.0,0.0,0.0,0.0,0.32457,0.06897,0,0.9402,0.53138,0.12255400047458226
Udyr,item_ad,0.0,0.0,0.0,0.03549,0.00661,0.0,0.76996,0.29992,0.0,4e-05,1e-05,0.0,0.3978,0.09752,0.0,0.61039,0.2,0,0.88902,0.39594,0.0
Udyr,item_bruiser,0.0,0.0,0.0,0.07903,0.02749,0.0,0.47855,0.125,0.0,0.0,0.0,0.0,0.47855,0.125,0.0,0.47855,0.125,0,1.09446,0.59751,0.10057066722263547
Udyr,item_tank,0.05856,0.00759,0.0,0.84832,0.3975,0.0,0.0,0.0,0.0,0.0188,0.00318,0.0,0.59672,0.19565,0.0,0.44722,0.12292,0,0.67809,0.27317,0.0
Urgot,item_bruiser,0.0,0.0,0.0,0.00144,0.00016,0.0,0.92921,0.43292,0.0,0.0,0.0,0.0,0.00322,0.00026,0.0,0.34598,0.07752,0,0.98943,0.48913,0.0
Urgot,item_tank,0.0,0.0,0.0,0.00325,0.00101,0.0,0.39597,0.09522,0.0,0.0,0.0,0.0,0.37341,0.08965,0.0,0.26584,0.04762,0,1.19273,0.76649,0.34025027947659564
Varus,item_ad,0.0,0.0,0.0,0.14998,0.02625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88006,0.39152,0.0,0.41223,0.10515,0,0.96659,0.47708,0.0
Vayne,item_ad,0.0,0.0,0.0,0.02776,0.00164,0.0,0.70816,0.26685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41257,0.10528,0,1.10824,0.62623,0.14421469309622614
Veigar,item_ap,0.01623,0.00171,0.0,0.10332,0.01493,0.0,0.0,0.0,0.0,1.04549,0.55561,0.06572389507863685,0.73276,0.28241,0.0,0.4976,0.14528,0,0.00136,6e-05,0.0
Velkoz,item_ap,0.05704,0.0037,0.0,0.0622,0.01561,0.0,0.0,0.0,0.0,1.18855,0.84285,0.49714858168100734,0.0,0.0,0.0,0.48179,0.13784,0,4e-05,0.0,0.0
Vi,item_ad,0.0,0.0,0.0,0.0,0.0,0.0,1.20118,0.77761,0.3540412520229464,0.0,0.0,0.0,0.0,0.0,2.81752279921684e-206,0.00026,4e-05,0,0.64594,0.22235,0.0
Vi,item_bruiser,0.0,0.0,0.0,0.00031,4e-05,0.0,1.07101,0.5712,0.07140009056236385,0.0,0.0,0.0,0.0,0.0,0.0,0.35827,0.08163,0,0.82782,0.34712,0.0
Viego,item_ad,0.0,0.0,0.0,0.36469,0.12643,0.0,0.0,0.0,2.3818459478677346e-292,0.0,0.0,0.0,0.23671,0.03999,0.0,0.28685,0.056,0,1.12365,0.77758,0.43149632275614785
Viego,item_bruiser,0.0,0.0,0.0,0.39326,0.13952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21878,0.03478,0.0,0.34802,0.07826,0,1.11309,0.74744,0.38178815125023213
Viktor,item_ap,0.05491,0.0036,0.0,0.02146,0.00287,0.0,0.0,0.0,0.0,0.87466,0.38878,0.0,0.95538,0.45619,0.0,0.50382,0.14857,0,0.0,0.0,0.0
Vladimir,item_ap,0.00545,0.00037,0.0,0.49701,0.19811,0.0,0.0,0.0,0.0,0.91417,0.49048,0.0667974940631389,0.64613,0.22731,0.0,0.36117,0.08368,0,0.00068,4e-05,0.0
Volibear,item_bruiser,0.0,0.0,0.0,0.67465,0.30228,0.0,0.0,0.0,0.0,0.00042,7e-05,0.0,0.2586,0.04544,0.0,0.6562,0.22727,0,0.84181,0.42493,0.008059889150429544
Volibear,item_tank,1e-05,0.0,0.0,1.08818,0.66905,0.24992103256469783,0.0,0.0,0.0,0.00196,0.00031,0.0,0.2645,0.04854,0.0,0.45993,0.12621,0,0.44787,0.15588,0.0
Warwick,item_bruiser,3e-05,0.0,0.0,1.11181,0.67835,0.244878406314532,0.0,0.0,0.0,0.00553,0.00123,0.0,0.39235,0.09589,0.0,0.4832,0.13699,0,0.30861,0.08754,0.0
Warwick,item_tank,0.00103,0.00021,0.0,1.06828,0.59125,0.11421956491677282,0.0,0.0,0.0,0.17759,0.03184,0.0,0.53669,0.16326,0.0,0.57434,0.18349,0,0.17181,0.02995,0.0
Xayah,item_ad,0.0,0.0,0.0,0.00014,1e-05,0.0,0.919,0.42444,0.0,0.0,0.0,0.0,0.541,0.16855,0.0,0.30719,0.06332,0,0.81696,0.34367,0.0
Xerath,item_ap,0.07031,0.00554,0.0,0.00903,0.00167,0.0,0.0,0.0,0.0,1.04185,0.54482,0.047776885384001544,0.8067,0.33429,0.0,0.42953,0.11368,0,0.0,0.0,0.0
XinZhao,item_ad,0.0,0.0,0.0,0.17596,0.0292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29982,0.05998,0.0,0.2999,0.06,0,1.20026,0.85081,0.5013658850967899
XinZhao,item_bruiser,0.0,0.0,0.0,0.03485,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29329,0.05795,0.0,0.46968,0.13043,0,1.19341,0.80292,0.41241670542242787
Yasuo,item_ad,0.0,0.0,0.0,0.00733,0.00139,0.0,0.0,0.0,7.50822599151639e-276,0.0,0.0,0.0,0.40764,0.10305,0.0,0.45021,0.12214,0,1.19121,0.77342,0.3556403255215473
Yone,item_ad,0.0,0.0,0.0,0.46727,0.17539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40892,0.10359,0,1.09778,0.72103,0.3442768162211468
Yorick,item_ad,0.0,0.0,0.0,0.75022,0.38806,0.025887548931438797,0.0,0.0,0.0,0.0,0.0,0.0,0.58634,0.18182,0.0,0.39242,0.09091,0,0.68056,0.33922,0.0
Yorick,item_bruiser,5e-05,1e-05,0.0,0.69906,0.33557,0.0,0.0,0.0,0.0,0.00013,2e-05,0.0,0.44468,0.11765,0.0,0.50655,0.14706,0,0.78655,0.3997,0.012855893393978524
Yorick,item_tank,0.0,0.0,0.0,0.64205,0.3631,0.08415712731946406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47855,0.125,0,0.82665,0.5119,0.19714689283683923
Yuumi,item_ap,0.61392,0.24805,0.0,0.57258,0.23769,0.0,0.0,0.0,0.0,0.35629,0.11386,0.0,0.81191,0.34199,0.0,0.28477,0.05841,0,0.0,0.0,0.0
Yuumi,item_support,1.04179,0.58394,0.12609733375073912,0.34934,0.09766,0.0,0.0,0.0,0.0,0.08881,0.00967,0.0,0.75981,0.30819,0.0,0.00669,0.00053,0,0.0001,1e-05,0.0
Zac,item_ap,0.00068,0.00019,0.0,0.6219,0.29487,0.0,0.0,0.0,0.0,1.00856,0.65231,0.2960611912900105,0.0,0.0,2.6602241010539098e-253,0.28205,0.05263,0,0.0,0.0,0.0
Zac,item_tank,0.19113,0.03789,0.0,1.12158,0.74793,0.37427527670711164,0.0,0.0,0.0,0.33957,0.11023,0.0,0.0,0.0,0.0,0.40748,0.10391,0,0.00043,5e-05,0.0
Zed,item_ad,0.0,0.0,0.0,0.00056,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19942,0.02964,0.0,0.45975,0.12668,0,1.20721,0.8436,0.47999693060806564
Ziggs,item_ap,0.01391,0.00088,0.0,0.05729,0.00682,0.0,0.0,0.0,0.0,1.02999,0.53475,0.03950056561421933,0.8141,0.33973,0.0,0.43982,0.11782,0,0.0,0.0,0.0
Zilean,item_ap,0.20212,0.03911,0.0,0.20757,0.05628,0.0,0.0,0.0,0.0,0.89525,0.43157,0.0,0.81728,0.34278,0.0,0.45853,0.13026,0,2e-05,0.0,0.0
Zoe,item_ap,0.00433,0.0004,0.0,0.17208,0.04583,0.0,0.0,0.0,0.0,1.16663,0.82716,0.48768345058791424,0.0,0.0,0.0,0.45977,0.12658,0,0.00036,3e-05,0.0
Zyra,item_ap,0.06928,0.00501,0.0,0.17535,0.02892,0.0,0.0,0.0,0.0,1.08264,0.59844,0.11424441385344336,0.6976,0.2588,0.0,0.4196,0.10882,0,0.00019,1e-05,0.0
