champion,build,predCluster,PC0,PC1
Aatrox,item_bruiser,2,-0.83663661565616,-0.1282887327967431
Ahri,item_ap,4,0.8777333166511916,-0.4377095334028402
Akali,item_ap,1,0.9339182406983643,0.28607545712756594
Akshan,item_ad,6,-1.0033381627921563,0.4077260448769213
Alistar,item_tank,4,0.8526505198111396,-0.5522685141086195
Amumu,item_ap,1,0.9343221472570694,0.11917447243234536
Amumu,item_tank,4,0.7355115097270923,-0.478831682440372
Anivia,item_ap,5,1.072214737892327,0.4956892466817494
Annie,item_ap,5,1.079183619702727,0.7919555838000861
Aphelios,item_ad,6,-0.9811018152293927,0.5827801115321084
Ashe,item_ad,2,-0.778107722410428,-0.0926677052787771
AurelionSol,item_ap,5,1.0669128905437166,0.5602696926953948
Azir,item_ap,5,0.9777364262453978,0.6359600813796589
Bard,item_ad,3,-0.36195168266061134,-0.3096357310855248
Bard,item_ap,4,0.7240868163399728,-0.2652156137351758
Blitzcrank,item_ap,4,0.7735784417028448,-0.18812480918494637
Blitzcrank,item_tank,4,0.46374227103131416,-0.6667474456060252
Brand,item_ap,5,1.1147508104112416,0.7329758146086844
Braum,item_tank,4,0.6243328029357221,-0.6748075351704793
Caitlyn,item_ad,6,-0.9913971612075524,0.5783295671376137
Camille,item_bruiser,2,-0.8576786483011681,0.07855629018614825
Cassiopeia,item_ap,5,1.047689558766658,0.42723613795782045
Chogath,item_ap,4,0.9435725692050411,-0.4117468305178163
Chogath,item_tank,4,0.761538834448683,-0.5675694098264974
Corki,item_ad,4,0.4844885970029274,-0.14461466648064095
Darius,item_bruiser,2,-0.885220626252077,0.03788231614696604
Darius,item_tank,2,-0.8851018073095388,0.019020673262899572
Diana,item_ap,5,0.9941344815409716,0.5357643469784609
DrMundo,item_tank,0,-0.01588387994244095,-0.7265939143730356
Draven,item_ad,6,-0.9114958663788126,0.6631117004452882
Ekko,item_ap,1,0.9271783335236955,-0.00020182000966968496
Elise,item_ap,5,1.0853066085694771,0.5235997849781058
Evelynn,item_ap,1,1.0516050862336492,0.2512477607389253
Ezreal,item_ad,3,-0.6638995778950586,-0.6300615421415554
Fiddlesticks,item_ap,1,1.0798445766086526,0.11934993212183047
Fiora,item_ad,2,-0.9562838928922126,0.1340824153374709
Fiora,item_bruiser,2,-0.9566904233608012,0.07210977015928022
Fizz,item_ap,1,0.8942356205560738,0.4068425524882333
Galio,item_ap,1,1.0348091886229103,0.17052685327402042
Galio,item_tank,4,0.7960962906132798,-0.4613698289384729
Gangplank,item_ad,2,-1.0761837094115088,0.034683166792533277
Garen,item_ad,2,-0.8724852953329724,0.25517992069188244
Garen,item_bruiser,2,-0.938198058756335,0.10033738408860085
Garen,item_tank,2,-0.9071762990581351,0.0379043385713461
Gnar,item_ad,2,-0.9839551793849143,0.15286014379345922
Gnar,item_bruiser,2,-0.8254784791426136,-0.07463592619065006
Gnar,item_tank,2,-1.010975311183682,-0.25673943473289185
Gragas,item_ap,4,0.8596871425437402,-0.24228374402594252
Gragas,item_tank,4,0.8103846032720817,-0.5041364151886149
Graves,item_ad,6,-0.9662244645707798,0.5751058270037456
Gwen,item_ap,0,0.28475024584147635,-0.41623937224432556
Hecarim,item_ad,2,-0.6927003260761567,0.06213085953120946
Hecarim,item_bruiser,3,-0.7885956109629566,-0.31219622874176406
Hecarim,item_tank,3,-0.8011015337563424,-0.3865907793615871
Heimerdinger,item_ap,5,1.0774501966231735,0.7460007447989849
Illaoi,item_bruiser,2,-0.9132933246588106,-0.09087768795516503
Illaoi,item_tank,2,-0.8777356561137958,-0.11919489637044745
Irelia,item_ad,3,-0.7681907361270366,-0.22942530819880042
Irelia,item_bruiser,3,-0.7295361431221227,-0.42692962225280695
Ivern,item_ap,4,0.5287747736205611,-0.45397068949124386
Ivern,item_support,4,0.6317376690729408,-0.44449986963429
Janna,item_ap,4,0.9309756818130036,-0.23587527973753708
Janna,item_support,4,0.881168920503597,-0.25990280746198186
JarvanIV,item_ad,6,-0.7997369856578538,0.38420932159894255
JarvanIV,item_bruiser,2,-0.8510006037428485,-0.173846184913959
JarvanIV,item_tank,3,-0.8111220136257753,-0.3788582046660782
Jax,item_ad,2,-0.9471564014661096,0.053301084800797
Jax,item_bruiser,2,-0.9074026871215362,-0.056770696936786214
Jayce,item_ad,6,-0.9558241294309043,0.3406327996090795
Jhin,item_ad,6,-0.9050169045694371,0.6147302504941478
