,champion,build,C0,C1,C2,C3,C4,C5,C6,C7,C8
0,Aatrox,item_bruiser,0.09052333804809053,0.07213578500707214,0.0,0.005657708628005658,0.04526166902404526,0.005657708628005658,0.0,0.7736916548797736,0.007072135785007072
1,Ahri,item_ap,0.23825065274151436,0.07702349869451697,0.31592689295039167,0.0006527415143603133,0.03655352480417755,0.013054830287206266,0.30678851174934724,0.007180156657963447,0.0045691906005221935
2,Akali,item_ap,0.5387673956262425,0.07256461232604373,0.004970178926441352,0.004970178926441352,0.006958250497017893,0.0019880715705765406,0.34095427435387676,0.0268389662027833,0.0019880715705765406
3,Akshan,item_ad,0.16521739130434782,0.08550724637681159,0.0,0.2579710144927536,0.0,0.002898550724637681,0.0,0.011594202898550725,0.47681159420289854
4,Alistar,item_tank,0.0014903129657228018,0.08941877794336811,0.0,0.0,0.7809239940387481,0.07302533532041729,0.0,0.05514157973174367,0.0
5,Amumu,item_ap,0.3006993006993007,0.055944055944055944,0.11188811188811189,0.0,0.34265734265734266,0.013986013986013986,0.16083916083916083,0.013986013986013986,0.0
6,Amumu,item_tank,0.10813492063492064,0.09126984126984126,0.03670634920634921,0.000992063492063492,0.7162698412698413,0.012896825396825396,0.016865079365079364,0.016865079365079364,0.0
7,Anivia,item_ap,0.11149825783972125,0.08826945412311266,0.4912891986062718,0.0023228803716608595,0.08943089430894309,0.009291521486643438,0.2032520325203252,0.0023228803716608595,0.0023228803716608595
8,Annie,item_ap,0.1601423487544484,0.06850533807829182,0.4875444839857651,0.0,0.020462633451957295,0.012455516014234875,0.25,0.0,0.0008896797153024911
9,Aphelios,item_ad,0.09681697612732096,0.07824933687002653,0.0,0.2639257294429708,0.005305039787798408,0.003978779840848806,0.0,0.034482758620689655,0.5172413793103449
10,Ashe,item_ad,0.07733491969066032,0.0725758477096966,0.31528851873884595,0.05889351576442594,0.04164187983343248,0.042236763831052945,0.004164187983343248,0.00297441998810232,0.3848899464604402
11,AurelionSol,item_ap,0.15691489361702127,0.08244680851063829,0.3271276595744681,0.0,0.2127659574468085,0.010638297872340425,0.2074468085106383,0.0026595744680851063,0.0
12,Azir,item_ap,0.23689320388349513,0.07378640776699029,0.2912621359223301,0.0,0.015533980582524271,0.001941747572815534,0.36893203883495146,0.003883495145631068,0.007766990291262136
13,Bard,item_ad,0.2037037037037037,0.09259259259259259,0.08333333333333333,0.06481481481481481,0.07407407407407407,0.1388888888888889,0.06481481481481481,0.018518518518518517,0.25925925925925924
14,Bard,item_ap,0.1111111111111111,0.08278867102396514,0.3137254901960784,0.002178649237472767,0.08714596949891068,0.23965141612200436,0.15468409586056645,0.002178649237472767,0.006535947712418301
15,Blitzcrank,item_ap,0.2956521739130435,0.07130434782608695,0.17739130434782607,0.0,0.35478260869565215,0.05391304347826087,0.04695652173913043,0.0,0.0
16,Blitzcrank,item_tank,0.1340782122905028,0.07374301675977654,0.04581005586592179,0.0,0.6625698324022347,0.07597765363128492,0.0022346368715083797,0.00558659217877095,0.0
17,Brand,item_ap,0.11334120425029516,0.0820543093270366,0.3577331759149941,0.0,0.015348288075560802,0.0017709563164108619,0.42739079102715466,0.0011806375442739079,0.0011806375442739079
18,Braum,item_tank,0.03863987635239567,0.08809891808346214,0.0077279752704791345,0.0,0.7465224111282844,0.10973724884080371,0.00463678516228748,0.00463678516228748,0.0
19,Caitlyn,item_ad,0.0912106135986733,0.08568269762299613,0.004975124378109453,0.21393034825870647,0.004422332780541736,0.009950248756218905,0.0,0.009950248756218905,0.5798783858485351
20,Camille,item_bruiser,0.1452513966480447,0.055865921787709494,0.0,0.07262569832402235,0.04748603351955307,0.008379888268156424,0.0,0.6452513966480447,0.025139664804469275
21,Cassiopeia,item_ap,0.1323024054982818,0.07560137457044673,0.32989690721649484,0.001718213058419244,0.10481099656357389,0.013745704467353952,0.33505154639175255,0.005154639175257732,0.001718213058419244
22,Chogath,item_ap,0.04712041884816754,0.12041884816753927,0.13612565445026178,0.005235602094240838,0.3507853403141361,0.005235602094240838,0.27225130890052357,0.06282722513089005,0.0
23,Chogath,item_tank,0.007758620689655172,0.08189655172413793,0.015517241379310345,0.0,0.5887931034482758,0.00603448275862069,0.02413793103448276,0.27586206896551724,0.0
24,Corki,item_ad,0.2178517397881997,0.09379727685325265,0.10136157337367625,0.024205748865355523,0.015128593040847202,0.012102874432677761,0.46747352496217853,0.012102874432677761,0.05597579425113464
25,Darius,item_bruiser,0.13344887348353554,0.060658578856152515,0.0,0.02772963604852686,0.0658578856152513,0.0,0.0,0.7001733102253033,0.012131715771230503
26,Darius,item_tank,0.15384615384615385,0.06072874493927125,0.0,0.024291497975708502,0.09716599190283401,0.0,0.0,0.6518218623481782,0.012145748987854251
27,Diana,item_ap,0.334375,0.0953125,0.0609375,0.003125,0.025,0.0,0.471875,0.0078125,0.0015625
28,DrMundo,item_tank,0.03345724907063197,0.08674101610904585,0.0012391573729863693,0.0024783147459727386,0.22924411400247832,0.006195786864931847,0.011152416356877323,0.6270136307311028,0.0024783147459727386
29,Draven,item_ad,0.1171088746569076,0.06953339432753888,0.0,0.32387923147301007,0.0018298261665141812,0.0036596523330283625,0.0,0.04940530649588289,0.434583714547118
30,Ekko,item_ap,0.30495689655172414,0.07327586206896551,0.07112068965517242,0.008620689655172414,0.13469827586206898,0.010775862068965518,0.33512931034482757,0.057112068965517244,0.004310344827586207
31,Elise,item_ap,0.27715355805243447,0.0898876404494382,0.30337078651685395,0.0,0.0449438202247191,0.011235955056179775,0.2696629213483146,0.003745318352059925,0.0
32,Evelynn,item_ap,0.3354564755838641,0.08067940552016985,0.06794055201698514,0.0021231422505307855,0.008492569002123142,0.027600849256900213,0.4585987261146497,0.016985138004246284,0.0021231422505307855
33,Ezreal,item_ad,0.11282660332541568,0.07660332541567696,0.0172209026128266,0.1846793349168646,0.0011876484560570072,0.00831353919239905,0.0172209026128266,0.013064133016627079,0.5688836104513064
34,Fiddlesticks,item_ap,0.10665137614678899,0.10091743119266056,0.2408256880733945,0.0011467889908256881,0.2706422018348624,0.01834862385321101,0.2545871559633027,0.006880733944954129,0.0
35,Fiora,item_ad,0.26153846153846155,0.06153846153846154,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,0.5384615384615384,0.07692307692307693
36,Fiora,item_bruiser,0.18968692449355432,0.08287292817679558,0.0,0.06813996316758748,0.007366482504604052,0.0,0.0,0.6372007366482505,0.014732965009208104
37,Fizz,item_ap,0.4696261682242991,0.08294392523364486,0.054906542056074766,0.0035046728971962616,0.01985981308411215,0.008177570093457943,0.34345794392523366,0.011682242990654205,0.005841121495327103
38,Galio,item_ap,0.10655737704918032,0.09836065573770492,0.2459016393442623,0.0,0.38524590163934425,0.0,0.1557377049180328,0.00819672131147541,0.0
39,Galio,item_tank,0.04434589800443459,0.10643015521064302,0.07095343680709534,0.0,0.7228381374722838,0.013303769401330377,0.024390243902439025,0.017738359201773836,0.0
40,Gangplank,item_ad,0.12293388429752067,0.11776859504132231,0.004132231404958678,0.3274793388429752,0.0010330578512396695,0.005165289256198347,0.006198347107438017,0.05371900826446281,0.3615702479338843
41,Garen,item_ad,0.4158415841584158,0.0594059405940594,0.0,0.10891089108910891,0.039603960396039604,0.009900990099009901,0.0,0.2079207920792079,0.15841584158415842
42,Garen,item_bruiser,0.23404255319148937,0.07446808510638298,0.0,0.05106382978723404,0.059574468085106386,0.002127659574468085,0.0,0.5255319148936171,0.05319148936170213
43,Garen,item_tank,0.22916666666666666,0.07552083333333333,0.0,0.044270833333333336,0.1171875,0.0,0.0,0.515625,0.018229166666666668
44,Gnar,item_ad,0.3170731707317073,0.10975609756097561,0.0,0.04878048780487805,0.14634146341463414,0.012195121951219513,0.0,0.17073170731707318,0.1951219512195122
45,Gnar,item_bruiser,0.1484848484848485,0.07272727272727272,0.0,0.03636363636363636,0.17272727272727273,0.015151515151515152,0.0,0.4303030303030303,0.12424242424242424
46,Gnar,item_tank,0.1271186440677966,0.13559322033898305,0.0,0.01694915254237288,0.2627118644067797,0.00847457627118644,0.0,0.3559322033898305,0.09322033898305085
47,Gragas,item_ap,0.12982456140350876,0.06491228070175438,0.07894736842105263,0.0,0.41754385964912283,0.042105263157894736,0.22105263157894736,0.0456140350877193,0.0
48,Gragas,item_tank,0.019230769230769232,0.07692307692307693,0.0,0.0,0.75,0.04807692307692308,0.0,0.10576923076923077,0.0
