champion,build,c0_upper,c0_avg,c0_lower,c1_upper,c1_avg,c1_lower,c2_upper,c2_avg,c2_lower,c3_upper,c3_avg,c3_lower,c4_upper,c4_avg,c4_lower,c5_upper,c5_avg,c5_lower,c6_upper,c6_avg,c6_lower,c7_upper,c7_avg,c7_lower,c8_upper,c8_avg,c8_lower
Xayah,item_ad,0.11564,0.02525,0.0,0.0,0.0,0.0,0.34433,0.07725,0,0.0,0.0,0.0,0.0,0.0,0,0.02121,0.00083,0.0,1.13954,0.79807,0.4565932704857406,0.33724,0.0986,0.0,0.0,0.0,0.0
Xerath,item_ap,0.08449,0.00905,0.0,0.39338,0.15933,0.0,0.0001,0.0,0,0.28307,0.07359,0.0,0.3405,0.07577,0,0.04706,0.00344,0.0,0.00119,3e-05,0.0,2e-05,0.0,0.0,1.0267,0.67878,0.33086363378089967
XinZhao,item_ad,0.40668,0.16529,0.0,0.0,0.0,0.0,0.40089,0.1,0,0.0,0.0,0.0,0.0,0.0,0,0.00429,0.00033,0.0,0.76353,0.37745,0.0,0.70495,0.35694,0.008933748864586033,0.0,0.0,0.0
XinZhao,item_bruiser,0.49198,0.22345,0.0,0.0,0.0,0.0,0.39971,0.09966,0,0.06137,0.0034,0.0,0.0,0.0,0,0.00037,2e-05,0.0,0.43961,0.15377,0.0,0.89789,0.51969,0.14150442324322116,0.0,0.0,0.0
Yasuo,item_ad,0.17357,0.04281,0.0,0.00366,0.00012,0.0,0.30853,0.06388,0,0.002,7e-05,0.0,0.0,0.0,0,0.06341,0.00462,0.0,1.11369,0.7463,0.3789107914376077,0.42483,0.14201,0.0,0.00469,0.00019,0.0
Yone,item_ad,0.30001,0.08886,0.0,0.00012,0.0,0.0,0.33835,0.07494,0,0.00808,0.00054,0.0,0.00051,3e-05,0,0.07427,0.00735,0.0,0.51944,0.20019,0.0,1.03037,0.62797,0.22557222595634735,0.00301,0.0001,0.0
Yorick,item_ad,0.81677,0.43688,0.056981067456359835,0.06672,0.00774,0.0,0.4491,0.12063,0,0.12107,0.01571,0.0,0.00036,5e-05,0,0.06431,0.01102,0.0,0.39345,0.13995,0.0,0.61107,0.26572,0.0,0.01844,0.00231,0.0
Yorick,item_bruiser,0.89076,0.51174,0.1327203124300459,3e-05,0.0,0.0,0.29541,0.05918,0,0.03947,0.0029,0.0,0.00159,0.0001,0,0.09592,0.01061,0.0,0.20089,0.0436,0.0,0.72852,0.37185,0.015171279849466313,7e-05,0.0,0.0
Yorick,item_tank,0.91961,0.57831,0.23701550475615363,0.02439,0.00269,0.0,0.13937,0.01538,0,0.03917,0.00787,0.0,5e-05,1e-05,0,0.19714,0.03379,0.0,0.1015,0.02358,0.0,0.65272,0.33818,0.023642132379202707,0.00159,0.00019,0.0
Yuumi,item_ap,0.18292,0.03097,0.0,1.03857,0.56749,0.09641923160476473,5e-05,1e-05,0,0.65069,0.25013,0.0,0.42497,0.11063,0,0.13169,0.01763,0.0,4e-05,0.0,0.0,0.0009,7e-05,0.0,0.13871,0.02306,0.0
Yuumi,item_support,0.11331,0.0147,0.0,1.1479,0.70917,0.2704323007323689,0.00029,2e-05,0,0.58442,0.20344,0.0,0.31839,0.06742,0,0.046,0.00363,0.0,0.01601,0.0008,0.0,0.01229,0.00072,0.0,0.00109,0.00011,0.0
Zac,item_ap,0.25661,0.04905,0.0,0.26718,0.05817,0.0,0.00462,0.00072,0,1.11838,0.65327,0.18816536139802065,0.6406,0.2215,0,0.00055,0.00012,0.0,0.0,0.0,0.0,0.00012,3e-05,0.0,0.13187,0.01714,0.0
Zac,item_tank,0.18988,0.04108,0.0,0.13363,0.02307,0.0,0.03631,0.004,0,1.15961,0.85046,0.5413046469434417,0.28951,0.05929,0,0.10115,0.01238,0.0,0.0,0.0,0.0,0.07583,0.00936,0.0,0.00489,0.00037,0.0
Zed,item_ad,0.08284,0.01441,0.0,0.0,0.0,0.0,0.36426,0.08511,0,0.0,0.0,0.0,0.0,0.0,0,0.00522,0.00026,0.0,1.12901,0.7852,0.4413826154105707,0.35544,0.11502,0.0,0.0,0.0,0.0
Ziggs,item_ap,0.12778,0.01726,0.0,0.38893,0.14939,0.0,6e-05,0.0,0,0.27286,0.06921,0.0,0.33881,0.07512,0,0.03386,0.00232,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1.04065,0.68668,0.3327036660526302
Zilean,item_ap,0.17223,0.03611,0.0,0.9849,0.56396,0.14301681506238484,0.00634,0.00038,0,0.44453,0.14833,0.0,0.38686,0.09462,0,0.05935,0.00589,0.0,0.00044,2e-05,0.0,0.01026,0.0007,0.0,0.41467,0.14999,0.0
Zoe,item_ap,0.17115,0.03064,0.0,0.03304,0.00299,0.0,0.04697,0.0031,0,0.9029,0.47527,0.04763181812905842,0.46426,0.12976,0,0.11792,0.02183,0.0,0.0,0.0,0.0,0.03772,0.002,0.0,0.72583,0.33441,0.0
Zyra,item_ap,0.14137,0.01963,0.0,0.4261,0.17341,0.0,0.00039,2e-05,0,0.2624,0.06391,0.0,0.34484,0.07745,0,0.03049,0.0037,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.01947,0.66188,0.30427912668063645
